Month,Borough,Community District (CD),Borough Consultation Total SNAP Recipients,Borough Consultation Total SNAP Households,Borough Consultation Total Cash Assistance Recipients,Borough Consultation Total Cash Assistance Cases,Borough Consultation Total Medicaid Only Enrollees,Borough Consultation Total Medicaid Enrollees
03/01/2019,Manhattan,M08,5384,4306,720,546,4782,7779
03/01/2019,Manhattan,M09,21433,14030,4790,2946,10955,21761
03/01/2019,Manhattan,M10,32129,20429,8359,5120,12839,28986
03/01/2019,Manhattan,M11,41032,25777,9590,5782,16945,38387
03/01/2019,Manhattan,M12,44388,30298,6031,3874,25004,45639
03/01/2019,Queens,Q01,21767,12980,3806,2169,18565,28110
03/01/2019,Queens,Q02,10552,6600,1663,1048,13670,18236
03/01/2019,Queens,Q03,23341,13405,2631,1635,28062,36228
03/01/2019,Queens,Q04,24662,14335,2467,1619,29606,38604
03/01/2019,Queens,Q05,17263,10144,1878,1201,15051,21069
03/01/2019,Queens,Q06,9883,6869,750,528,7918,12321
03/01/2019,Queens,Q07,25320,16651,3323,2280,31209,43013
03/01/2019,Queens,Q08,17063,10338,3088,1939,14896,22385
03/01/2019,Queens,Q09,20744,12013,2849,1755,16963,24697
03/01/2019,Queens,Q10,15396,9331,2502,1458,12528,18492
03/01/2019,Queens,Q11,6403,4351,715,514,8435,11441
03/01/2019,Queens,Q12,42290,25688,9787,5854,24908,42208
03/01/2019,Queens,Q13,18552,11933,3550,2321,14849,22641
03/01/2019,Queens,Q14,28643,15390,7767,3468,11194,26067
03/01/2019,Staten_Island,S01,35940,19122,11002,5122,17487,36216
03/01/2019,Staten_Island,S02,13728,8183,2330,1345,11504,17932
03/01/2019,Staten_Island,S03,9744,6233,1182,726,8175,12109
06/01/2019,Bronx,B01,42338,22839,12465,6620,14275,38422
06/01/2019,Bronx,B02,20737,11386,6330,3279,6447,18891
06/01/2019,Bronx,B03,39878,21657,12340,6462,12353,35477
06/01/2019,Bronx,B04,53554,29604,15439,7902,19349,48305
06/01/2019,Bronx,B05,51850,28291,15993,8201,16997,45337
06/01/2019,Bronx,B06,37212,20093,13071,6556,10376,33951
06/01/2019,Bronx,B07,43266,24741,12533,6614,16582,39853
06/01/2019,Bronx,B08,15289,9180,3089,1626,8669,16176
06/01/2019,Bronx,B09,49754,27386,13121,6617,20394,46276
06/01/2019,Bronx,B10,16979,10433,3569,1906,8984,17032
06/01/2019,Bronx,B11,22585,13222,5595,3015,11469,23481
06/01/2019,Bronx,B12,35595,19530,12288,6121,13104,34284
06/01/2019,Brooklyn,K01,49688,19692,6367,2435,33767,46880
06/01/2019,Brooklyn,K02,12707,8585,2948,1856,6567,13278
06/01/2019,Brooklyn,K03,42175,22689,9623,5056,18651,37926
06/01/2019,Brooklyn,K04,22898,13944,3895,2193,11194,21504
06/01/2019,Brooklyn,K05,60158,34349,13583,7111,23716,51739
06/01/2019,Brooklyn,K06,9682,6506,1835,1124,4934,9793
06/01/2019,Brooklyn,K07,20210,11920,2809,1693,20255,27627
06/01/2019,Brooklyn,K08,19179,12354,4892,2932,8370,18665
06/01/2019,Brooklyn,K09,19546,11936,3912,2335,10517,18736
06/01/2019,Brooklyn,K10,16134,9544,1835,1160,15836,21357
06/01/2019,Brooklyn,K11,34095,20231,3068,1821,30028,42872
06/01/2019,Brooklyn,K12,58535,19012,9470,2411,47004,62841
06/01/2019,Brooklyn,K13,30591,20465,4670,2387,15362,33339
06/01/2019,Brooklyn,K14,29212,17163,4255,2431,19361,31086
06/01/2019,Brooklyn,K15,26621,16639,2944,1630,19928,31871
06/01/2019,Brooklyn,K16,35639,19966,11108,5612,10913,31687
06/01/2019,Brooklyn,K17,28529,18165,7180,4256,13834,27404
06/01/2019,Brooklyn,K18,26792,16163,5054,2778,16124,27991
06/01/2019,Manhattan,M01,2184,1770,702,566,1491,2925
06/01/2019,Manhattan,M02,2775,2250,328,282,2568,3668
06/01/2019,Manhattan,M03,35305,24217,5926,3926,22977,40800
06/01/2019,Manhattan,M04,11315,8488,2818,2053,5735,12290
06/01/2019,Manhattan,M05,5308,3716,2333,1485,1615,6119
06/01/2019,Manhattan,M06,5011,4322,1092,908,2987,5594
06/01/2019,Manhattan,M07,15625,11779,3235,2250,8144,16757
06/01/2019,Manhattan,M08,5254,4192,769,563,4075,6758
06/01/2019,Manhattan,M09,20840,13742,4642,2904,9636,20305
06/01/2019,Manhattan,M10,30804,19758,8207,5066,11667,28164
06/01/2019,Manhattan,M11,40234,25354,9747,5937,16007,38025
06/01/2019,Manhattan,M12,43400,29730,6229,4044,23327,42525
06/01/2019,Queens,Q01,21293,12769,3881,2248,17046,25976
06/01/2019,Queens,Q02,10293,6477,1597,1049,12224,15812
06/01/2019,Queens,Q03,22617,13043,2561,1612,25143,31031
06/01/2019,Queens,Q04,24024,14010,2530,1653,27163,33814
06/01/2019,Queens,Q05,16965,9963,1907,1225,14789,19781
06/01/2019,Queens,Q06,9651,6761,760,537,8614,12531
06/01/2019,Queens,Q07,25006,16503,3441,2329,34057,43345
06/01/2019,Queens,Q08,16797,10221,2954,1874,15966,22836
06/01/2019,Queens,Q09,20207,11751,2827,1783,16333,23177
06/01/2019,Queens,Q10,15042,9126,2323,1394,11691,17171
06/01/2019,Queens,Q11,6333,4316,770,541,9617,11889
06/01/2019,Queens,Q12,41373,25288,9423,5686,23929,42045
06/01/2019,Queens,Q13,18224,11806,3495,2283,14088,21628
06/01/2019,Queens,Q14,27909,15139,7803,3564,12209,28629
06/01/2019,Staten_Island,S01,35062,18683,10578,5052,16375,36057
06/01/2019,Staten_Island,S02,13599,8129,2307,1329,11665,17718
06/01/2019,Staten_Island,S03,9624,6142,1228,755,8426,12056
09/01/2019,Bronx,B01,41969,22681,12404,6573,13854,37854
09/01/2019,Bronx,B02,20542,11318,6420,3293,6313,18641
09/01/2019,Bronx,B03,39456,21518,12194,6448,12025,35068
09/01/2019,Bronx,B04,52131,29095,15035,7793,18880,46989
09/01/2019,Bronx,B05,50652,27772,15917,8219,16395,44460
09/01/2019,Bronx,B06,36831,20036,13126,6560,9995,33440
09/01/2019,Bronx,B07,42511,24395,12494,6610,16276,39265
09/01/2019,Bronx,B08,15257,9177,3203,1679,8459,15893
09/01/2019,Bronx,B09,49052,27111,13186,6668,19969,45723
09/01/2019,Bronx,B10,16745,10288,3587,1895,8797,16833
09/01/2019,Bronx,B11,22349,13099,5503,2972,11171,23021
09/01/2019,Bronx,B12,35257,19366,12070,6029,12882,33902
09/01/2019,Brooklyn,K01,49470,19580,6552,2501,32588,45521
09/01/2019,Brooklyn,K02,12682,8554,2933,1850,6444,13076
09/01/2019,Brooklyn,K03,41664,22449,9485,5001,18056,37043
09/01/2019,Brooklyn,K04,22301,13700,3992,2229,10742,20814
09/01/2019,Brooklyn,K05,59488,34055,13684,7148,22932,50489
09/01/2019,Brooklyn,K06,9754,6511,1833,1143,4838,9690
09/01/2019,Brooklyn,K07,19654,11670,2744,1655,19111,26344
09/01/2019,Brooklyn,K08,18858,12226,4812,2888,8100,18194
09/01/2019,Brooklyn,K09,19295,11792,3838,2318,10299,18356
09/01/2019,Brooklyn,K10,15945,9491,1795,1165,15242,20712
09/01/2019,Brooklyn,K11,33279,19920,2954,1810,28736,41342
09/01/2019,Brooklyn,K12,58390,18865,9669,2417,45212,60870
09/01/2019,Brooklyn,K13,30178,20214,4792,2427,14958,32734
09/01/2019,Brooklyn,K14,28377,16880,4251,2444,18591,30015
09/01/2019,Brooklyn,K15,26162,16422,2905,1616,19289,30921
09/01/2019,Brooklyn,K16,35066,19827,11086,5566,10479,31040
09/01/2019,Brooklyn,K17,28160,18092,7251,4307,13540,27091
09/01/2019,Brooklyn,K18,26708,16132,5225,2825,15845,27676
09/01/2019,Manhattan,M01,2163,1757,673,564,1445,2865
09/01/2019,Manhattan,M02,2729,2218,296,274,2449,3515
09/01/2019,Manhattan,M03,35323,24279,5920,3970,21680,39318
09/01/2019,Manhattan,M04,11404,8557,2839,2103,5552,12105
09/01/2019,Manhattan,M05,5525,3765,2512,1523,1637,6136
09/01/2019,Manhattan,M06,4981,4305,952,846,2976,5443
09/01/2019,Manhattan,M07,15501,11673,3263,2313,7948,16392
09/01/2019,Manhattan,M08,5273,4203,704,547,4059,6673
09/01/2019,Manhattan,M09,20553,13569,4665,2917,9086,19580
09/01/2019,Manhattan,M10,30031,19299,7975,4984,10986,26868
09/01/2019,Manhattan,M11,39946,25173,9937,6019,15156,36892
09/01/2019,Manhattan,M12,42565,29289,6109,4036,22160,40977
09/01/2019,Queens,Q01,20911,12642,3832,2272,16501,25314
09/01/2019,Queens,Q02,10066,6364,1632,1071,11766,15365
09/01/2019,Queens,Q03,21923,12716,2558,1633,24159,30002
09/01/2019,Queens,Q04,23221,13626,2500,1647,26312,32822
09/01/2019,Queens,Q05,16601,9792,1805,1185,14310,19114
09/01/2019,Queens,Q06,9450,6680,741,533,8422,12249
09/01/2019,Queens,Q07,24753,16435,3426,2375,33192,42480
09/01/2019,Queens,Q08,16530,10122,2877,1855,15599,22369
09/01/2019,Queens,Q09,19604,11469,2850,1788,15852,22634
09/01/2019,Queens,Q10,14837,9019,2252,1361,11383,16791
09/01/2019,Queens,Q11,6427,4371,764,538,9342,11593
09/01/2019,Queens,Q12,40884,25104,9296,5630,23525,41575
09/01/2019,Queens,Q13,18259,11836,3559,2304,13860,21442
09/01/2019,Queens,Q14,27559,15003,7575,3475,11978,28144
09/01/2019,Staten_Island,S01,34943,18614,10651,4987,15949,35422
09/01/2019,Staten_Island,S02,13633,8100,2375,1341,11483,17547
09/01/2019,Staten_Island,S03,9591,6136,1231,744,8324,11956
12/01/2019,Bronx,B01,41728,22758,12552,6647,13236,37069
12/01/2019,Bronx,B02,20343,11299,6326,3266,5978,18183
12/01/2019,Bronx,B03,39004,21484,12206,6434,11463,34216
12/01/2019,Bronx,B04,51190,28742,14726,7600,17959,45593
12/01/2019,Bronx,B05,49830,27485,15522,8051,15748,43217
12/01/2019,Bronx,B06,36902,20086,13271,6631,9566,32901
12/01/2019,Bronx,B07,42103,24237,12231,6529,15569,38235
12/01/2019,Bronx,B08,15151,9150,3133,1647,8164,15570
12/01/2019,Bronx,B09,48932,27147,13153,6634,19269,44752
12/01/2019,Bronx,B10,16891,10396,3516,1858,8535,16473
12/01/2019,Bronx,B11,22177,13061,5406,2941,10785,22450
12/01/2019,Bronx,B12,34989,19265,12130,6060,12248,33104
12/01/2019,Brooklyn,K01,49148,19579,6433,2445,31808,44587
